Name,Description,Lat,Long,Color,Category
Pole-0070,Pole,40.855479,-82.915908,#F147E5,Retired
Pole-0071,Pole,41.027567,-84.639068,#8D0BDE,Retired
Meter-0072,Meter,40.201192,-81.441642,#9ACEAC,Retired
Pole-0073,Pole,41.97671,-81.346366,#036508,Active
Transformer-0074,Transformer,40.060595,-83.756997,#4374AE,Maintenance
Pole-0075,Pole,39.590656,-80.574696,#94500C,Active
Meter-0076,Meter,41.362999,-84.753712,#099794,Active
Transformer-0077,Transformer,41.374375,-82.802844,#29DA72,Maintenance
Meter-0078,Meter,40.632513,-84.413134,#4C082D,Active
Transformer-0079,Transformer,41.881555,-83.355986,#A6A78B,Maintenance
Transformer-0080,Transformer,39.021827,-84.483206,#C3336E,Retired
Meter-0081,Meter,38.823598,-82.219093,#438062,Maintenance
Pole-0082,Pole,38.884055,-84.618798,#364ED5,Retired
Transformer-0083,Transformer,41.83313,-83.356387,#51393B,Active
Pole-0084,Pole,40.787057,-84.550522,#CBA85F,Retired
Meter-0085,Meter,40.40085,-82.044911,#066F96,Retired
Meter-0086,Meter,41.625552,-80.868344,#AE306E,Active
Pole-0087,Pole,39.794761,-80.526438,#DAD996,Retired
Transformer-0088,Transformer,39.62341,-83.038475,#8B7262,Retired
Transformer-0089,Transformer,39.655589,-83.524772,#1B8746,Active
Pole-0090,Pole,39.930699,-84.315856,#DEA107,Active
Meter-0091,Meter,41.080248,-81.591212,#C813E9,Maintenance
Meter-0092,Meter,40.609849,-82.009104,#5539B9,Retired
Transformer-0093,Transformer,40.377797,-80.560443,#DE0AA6,Active
Transformer-0094,Transformer,38.877409,-82.605078,#E99B4C,Retired
Pole-0095,Pole,38.680741,-81.505721,#842D49,Maintenance
Transformer-0096,Transformer,39.870407,-81.540723,#B34D39,Retired
Pole-0097,Pole,40.174571,-82.672643,#1C8A36,Active
Pole-0098,Pole,38.443694,-80.619737,#B6609B,Maintenance
Transformer-0099,Transformer,38.705085,-81.154314,#6AB786,Active
Pole-0100,Pole,39.439457,-80.80989,#997219,Maintenance
Transformer-0101,Transformer,40.020573,-84.0901,#2A297D,Retired
Pole-0102,Pole,39.732568,-84.169861,#FCA777,Maintenance
Transformer-0103,Transformer,39.087222,-83.549896,#947A45,Active
Transformer-0104,Transformer,41.592097,-81.702183,#DC22BB,Maintenance
Pole-0105,Pole,40.444922,-81.410956,#4DE8B3,Active
Pole-0106,Pole,41.694853,-83.573823,#4E02C1,Active
Pole-0107,Pole,38.663818,-82.658061,#061449,Active
Transformer-0108,Transformer,39.630118,-81.705177,#E95710,Active
Pole-0109,Pole,41.459634,-84.420926,#3164C9,Active
Pole-0110,Pole,38.799517,-80.668222,#977A39,Retired
Transformer-0111,Transformer,39.555715,-83.700614,#912E48,Retired
Transformer-0112,Transformer,41.950305,-81.329888,#8B2A5F,Active
Pole-0113,Pole,41.735767,-81.527707,#32AEC4,Maintenance
Pole-0114,Pole,39.078811,-84.506997,#A4D269,Maintenance
Pole-0115,Pole,38.772791,-84.5903,#92CFF1,Retired
Pole-0116,Pole,41.239828,-84.599161,#714238,Retired
Transformer-0117,Transformer,39.884869,-84.017431,#4827E4,Active
Meter-0118,Meter,41.710747,-80.810385,#1A5696,Maintenance
Transformer-0119,Transformer,38.997546,-83.999859,#8852C1,Maintenance
Pole-0120,Pole,41.335592,-81.939944,#B478C0,Retired
Transformer-0121,Transformer,38.670959,-83.732442,#78F907,Maintenance
Transformer-0122,Transformer,40.064458,-80.776453,#4AA8B9,Active
Meter-0123,Meter,40.881003,-84.352257,#469ACC,Maintenance
Pole-0124,Pole,39.691768,-82.871814,#F568F7,Active
Transformer-0125,Transformer,39.258718,-81.607513,#2FEDC0,Active
Transformer-0126,Transformer,40.991314,-82.938882,#8A0939,Maintenance
Meter-0127,Meter,38.829756,-82.088693,#D93A01,Maintenance
Transformer-0128,Transformer,39.561298,-84.23286,#B0FFBF,Retired
Pole-0129,Pole,41.310136,-80.977878,#DEDF7F,Maintenance
Meter-0130,Meter,38.476997,-84.36577,#D376C1,Active
Pole-0131,Pole,41.439634,-82.250321,#C877B3,Retired
Pole-0132,Pole,40.053023,-82.343258,#FC6B74,Maintenance
Transformer-0133,Transformer,40.307479,-80.595474,#250232,Active
Transformer-0134,Transformer,40.269932,-81.851415,#2A5581,Retired
Meter-0135,Meter,41.221783,-84.036996,#1DCB58,Maintenance
Meter-0136,Meter,38.411364,-81.75948,#745640,Retired
Meter-0137,Meter,38.477443,-84.793446,#001D09,Active
Pole-0138,Pole,38.706145,-82.696423,#D7056A,Maintenance
Transformer-0139,Transformer,39.986822,-81.272326,#C2FEF3,Maintenance
Transformer-0140,Transformer,39.43983,-80.991494,#77A1B1,Active
Pole-0141,Pole,39.423724,-82.757177,#D7ACCF,Retired
Meter-0142,Meter,39.246284,-82.562801,#18C86C,Active
Transformer-0143,Transformer,40.732666,-80.931576,#EE644E,Maintenance
Transformer-0144,Transformer,40.444718,-80.789281,#DADFB9,Active
Meter-0145,Meter,40.660586,-82.209004,#B8451C,Retired
Pole-0146,Pole,41.479758,-83.09704,#45D282,Active
Pole-0147,Pole,40.861986,-84.70095,#6ACDE6,Active
Pole-0148,Pole,40.099707,-81.779475,#4901F8,Retired
Transformer-0149,Transformer,40.750906,-81.11504,#78B4ED,Maintenance
Meter-0150,Meter,39.87755,-80.563842,#762232,Maintenance
Meter-0151,Meter,38.570679,-80.730134,#323C0B,Retired
Pole-0152,Pole,41.693475,-81.200685,#14A3EC,Maintenance
Transformer-0153,Transformer,38.64267,-81.564967,#C88580,Maintenance
Transformer-0154,Transformer,41.534098,-80.809768,#46E9C0,Retired
Meter-0155,Meter,40.887147,-83.093992,#AFCA2C,Active
Pole-0156,Pole,39.303645,-80.631574,#CCE036,Active
Transformer-0157,Transformer,39.952412,-80.959943,#DBDB54,Maintenance
Meter-0158,Meter,38.464101,-82.574481,#190F78,Retired
Meter-0159,Meter,39.536016,-82.089753,#ED234C,Retired
Pole-0160,Pole,38.47531,-84.243858,#D92B08,Retired
Pole-0161,Pole,41.873551,-81.759175,#54D2D3,Retired
Pole-0162,Pole,40.854072,-80.851823,#FF7464,Active
Pole-0163,Pole,38.567007,-83.164294,#79AA21,Maintenance
Transformer-0164,Transformer,39.171176,-84.392172,#5359D0,Active
Pole-0165,Pole,38.76816,-84.037526,#DA07C1,Maintenance
Meter-0166,Meter,40.418402,-80.942086,#64E435,Maintenance
Meter-0167,Meter,41.415187,-80.735386,#174F36,Maintenance
Pole-0168,Pole,38.56445,-81.596694,#B68927,Maintenance
Transformer-0169,Transformer,38.981591,-81.671346,#BDE3BE,Active
Pole-0170,Pole,41.583455,-82.256774,#FDE564,Active
Meter-0171,Meter,39.732482,-82.921276,#AC264D,Maintenance
Pole-0172,Pole,38.957552,-82.67184,#2281C7,Active
Pole-0173,Pole,41.213544,-84.123606,#782CFF,Maintenance
Pole-0174,Pole,41.295025,-84.153248,#E1CE2F,Maintenance
Transformer-0175,Transformer,40.100808,-82.10206,#FB5FDB,Active
Meter-0176,Meter,40.887274,-84.366709,#4C7617,Maintenance
Meter-0177,Meter,41.906657,-82.339371,#9CB47C,Retired
Transformer-0178,Transformer,40.513393,-84.03012,#E69D00,Maintenance
Meter-0179,Meter,41.092745,-81.191928,#77E829,Retired
Meter-0180,Meter,39.932002,-81.781511,#F0B67E,Maintenance
Transformer-0181,Transformer,40.257431,-82.783741,#BB6E91,Maintenance
Meter-0182,Meter,38.694715,-83.131299,#238D7D,Retired
Pole-0183,Pole,40.657816,-83.188837,#9B1234,Active
Pole-0184,Pole,39.294408,-81.302653,#F6199E,Maintenance
Transformer-0185,Transformer,38.401472,-84.386541,#0D415E,Active
Meter-0186,Meter,39.80338,-83.027602,#297806,Maintenance
Meter-0187,Meter,39.576579,-84.187374,#109704,Maintenance
Pole-0188,Pole,41.189369,-83.418141,#3EC7A0,Maintenance
Transformer-0189,Transformer,39.267255,-80.996003,#423211,Retired
Transformer-0190,Transformer,38.917113,-83.544842,#74B186,Active
Transformer-0191,Transformer,41.357593,-80.813804,#209442,Retired
Meter-0192,Meter,41.696085,-81.053138,#FB1C89,Active
Transformer-0193,Transformer,41.863704,-82.875605,#FA72D4,Active
Meter-0194,Meter,39.202749,-83.874081,#9FD7A9,Maintenance
Pole-0195,Pole,38.568715,-83.122786,#0F157F,Active
Pole-0196,Pole,41.835565,-81.444498,#3A30AA,Retired
Pole-0197,Pole,38.838622,-83.029612,#6E461B,Maintenance
Pole-0198,Pole,40.049948,-83.139035,#EE9820,Active
Transformer-0199,Transformer,40.821065,-81.32448,#5927B3,Maintenance
Meter-0200,Meter,39.03264,-84.289776,#264D36,Retired
Meter-0201,Meter,38.772486,-82.085127,#4A3376,Maintenance
Transformer-0202,Transformer,41.493058,-84.561897,#E12DD6,Active
Meter-0203,Meter,38.629545,-82.514258,#58EDEA,Active
Transformer-0204,Transformer,41.01924,-83.780468,#838737,Maintenance
Transformer-0205,Transformer,41.865045,-83.917951,#7BE61A,Active
Transformer-0206,Transformer,40.793239,-81.177464,#D21407,Active
Transformer-0207,Transformer,40.004218,-81.778659,#383298,Active
Transformer-0208,Transformer,39.132143,-82.416461,#462A74,Maintenance
Meter-0209,Meter,39.024189,-80.705138,#A0E191,Retired
Transformer-0210,Transformer,40.788594,-84.38801,#527FEB,Active
Pole-0211,Pole,41.082813,-81.640013,#DA9A51,Active
Meter-0212,Meter,39.361808,-81.370686,#E495C6,Maintenance
Meter-0213,Meter,39.655578,-82.147889,#036B46,Retired
Transformer-0214,Transformer,39.294736,-81.155645,#76DEAA,Retired
Transformer-0215,Transformer,41.236906,-80.575173,#4AC159,Active
Transformer-0216,Transformer,39.326328,-82.120899,#3DD543,Active
Transformer-0217,Transformer,39.964427,-80.86862,#24166A,Active
Transformer-0218,Transformer,41.813159,-83.493623,#C46F66,Retired
Pole-0219,Pole,40.788497,-82.514424,#565CB2,Maintenance
Pole-0220,Pole,38.871946,-84.404504,#5A887E,Retired
Pole-0221,Pole,40.359912,-80.824645,#9E62C7,Active
Pole-0222,Pole,38.852297,-83.195017,#AFF1D7,Active
Transformer-0223,Transformer,40.667467,-84.026095,#E3D4D7,Retired
Transformer-0224,Transformer,39.640107,-84.785906,#B203B6,Active
Pole-0225,Pole,41.776235,-81.07357,#4BEDB6,Retired
Pole-0226,Pole,40.328443,-81.373295,#FE8CB1,Active
Transformer-0227,Transformer,40.776514,-83.551347,#CE8CD2,Active
Transformer-0228,Transformer,40.149025,-81.841441,#2607FC,Retired
Transformer-0229,Transformer,39.933929,-83.680324,#8CEF48,Maintenance
Pole-0230,Pole,39.970768,-81.258322,#7EE29E,Maintenance
Pole-0231,Pole,41.460708,-81.498237,#E67A16,Active
Pole-0232,Pole,41.637134,-84.022409,#FF3AC9,Retired
Pole-0233,Pole,40.336162,-80.573301,#05B44D,Maintenance
Transformer-0234,Transformer,40.861775,-84.096572,#30CDBA,Maintenance
Meter-0235,Meter,40.595673,-81.198488,#0D8CAE,Active
Meter-0236,Meter,41.751789,-83.927716,#81F706,Maintenance
Meter-0237,Meter,39.599198,-83.806177,#0A4140,Retired
Transformer-0238,Transformer,40.841475,-84.636184,#46DBC7,Retired
Meter-0239,Meter,40.566503,-83.41496,#D18D41,Maintenance
Pole-0240,Pole,38.792944,-81.270339,#6FFFB4,Retired
Transformer-0241,Transformer,39.081349,-82.252683,#40726A,Active
Meter-0242,Meter,41.880171,-81.576209,#0D02BD,Retired
Meter-0243,Meter,40.297782,-83.48718,#003195,Retired
Transformer-0244,Transformer,38.598645,-82.673085,#DA839F,Maintenance
Transformer-0245,Transformer,41.728453,-82.692843,#7C8AB8,Retired
Transformer-0246,Transformer,41.65112,-82.773184,#A18E43,Maintenance
Pole-0247,Pole,41.735234,-81.823102,#E8362B,Maintenance
Meter-0248,Meter,39.438052,-83.702679,#CC6DDC,Maintenance
Meter-0249,Meter,39.620336,-84.523298,#27E029,Active
Meter-0250,Meter,39.444785,-83.852897,#A573C0,Maintenance
